number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.756255559529991,0.756255559529991,0.8437094511247233,0.9066454801689213,0.8001444170905675,0.7210127557621672,0.02270815587757843,1,"{'n_estimators': 225, 'max_depth': 3, 'learning_rate': 0.011915929503123358, 'subsample': 0.5700928019088212, 'colsample_bytree': 0.5170243543858832, 'gamma': 0.8384180889229115, 'reg_alpha': 0.13863553630561276, 'reg_lambda': 0.012722807078295983}"
1,0.9863029220466609,0.9863029220466609,0.9907859119748604,0.9994674881065572,0.9801014042676189,0.9925883336649083,0.00590325537647841,2,"{'n_estimators': 478, 'max_depth': 8, 'learning_rate': 0.18667120385239822, 'subsample': 0.6226698407191396, 'colsample_bytree': 0.5858116774842568, 'gamma': 4.2848207881656055, 'reg_alpha': 0.7295390854030339, 'reg_lambda': 0.19700287820143914}"
2,0.9825060072808315,0.9825060072808315,0.988173314707427,0.9993668784024198,0.9732032441006989,0.9920551775598963,0.006513125137363444,3,"{'n_estimators': 390, 'max_depth': 10, 'learning_rate': 0.019160474202209614, 'subsample': 0.8512904130962423, 'colsample_bytree': 0.6165102622000365, 'gamma': 2.7315999760247225, 'reg_alpha': 0.6089496205591246, 'reg_lambda': 0.38696058088248964}"
3,0.7922462943536649,0.7922462943536649,0.8613851473364503,0.9256032896632284,0.8045410011345301,0.7845467007085861,0.025824579565325165,4,"{'n_estimators': 145, 'max_depth': 3, 'learning_rate': 0.026213872755072552, 'subsample': 0.9112093499836122, 'colsample_bytree': 0.8957901606989742, 'gamma': 1.2667174215293846, 'reg_alpha': 0.14616190321330103, 'reg_lambda': 0.2816328560772092}"
4,0.9515226741158269,0.9515226741158269,0.9673415065683687,0.9943996562262755,0.9468827718926845,0.956463725838072,0.012708289616154455,5,"{'n_estimators': 418, 'max_depth': 5, 'learning_rate': 0.038272838559854964, 'subsample': 0.6815923541665667, 'colsample_bytree': 0.6919979246798504, 'gamma': 3.5029767949435264, 'reg_alpha': 0.23736125757924742, 'reg_lambda': 0.01542275088160916}"
5,0.9901847859821403,0.9901847859821403,0.9934067434370982,0.9997244166271465,0.9847786167115354,0.9956547023054706,0.004111389520104534,6,"{'n_estimators': 418, 'max_depth': 7, 'learning_rate': 0.2044402724042568, 'subsample': 0.784302887114936, 'colsample_bytree': 0.5199546266854148, 'gamma': 0.7023579001654873, 'reg_alpha': 0.9239943685819636, 'reg_lambda': 0.7856611651137125}"
6,0.9921031565726528,0.9921031565726528,0.9946955423413342,0.999841078138172,0.9868949797310417,0.997368166539551,0.002714186369706186,7,"{'n_estimators': 338, 'max_depth': 8, 'learning_rate': 0.16902518037374925, 'subsample': 0.8701688482044616, 'colsample_bytree': 0.6701347117764145, 'gamma': 0.21014101892587955, 'reg_alpha': 0.06923646746704126, 'reg_lambda': 0.4268922983052541}"
7,0.8748854849174924,0.8748854849174924,0.9170484957319603,0.9719044221402587,0.8890673846063456,0.8630950798874547,0.01915045032483948,8,"{'n_estimators': 139, 'max_depth': 7, 'learning_rate': 0.01350684921629292, 'subsample': 0.6648366389265152, 'colsample_bytree': 0.9264466358333271, 'gamma': 2.6281148405061128, 'reg_alpha': 0.6795548239892157, 'reg_lambda': 0.04526541245004678}"
8,0.9701702142662084,0.9701702142662084,0.9798465619625917,0.9980406744340161,0.9621337055233612,0.9784737832045155,0.009551998978028565,9,"{'n_estimators': 398, 'max_depth': 8, 'learning_rate': 0.021538297132335488, 'subsample': 0.6926338320399732, 'colsample_bytree': 0.6038407814434925, 'gamma': 1.0766473484169508, 'reg_alpha': 0.9912638341519175, 'reg_lambda': 0.3618560212102683}"
9,0.9895146597170124,0.9895146597170124,0.9929435172612694,0.999753850346981,0.9829633672743485,0.9961601105836734,0.004280673270824505,10,"{'n_estimators': 415, 'max_depth': 10, 'learning_rate': 0.2516320834216877, 'subsample': 0.6529159456844496, 'colsample_bytree': 0.6915359041096634, 'gamma': 1.7677697071030007, 'reg_alpha': 0.6544250044775226, 'reg_lambda': 0.4148545632831234}"
